Date,AP005,BR007,DL017,DL025,DL030,GJ001,PB001,TG001,TG002,TG003,TG004,TG005,TG006
2018-01-27,1.83,1.55,0.0,2.1,0.0,5.82,5.29,0.2,10.85,0.46,0.75,2.086666666666667,25.08
2018-01-28,2.54,1.89,0.0,3.37,0.0,12.69,5.82,0.15,9.47,0.54,0.63,1.8833333333333333,17.3
2018-01-29,2.99,1.81,0.0,3.05,0.0,13.38,6.12,0.08,8.7,0.54,0.65,1.68,10.02
2018-01-30,6.39,2.11,0.0,1.95,0.0,19.45,7.04,0.02,8.74,0.43,3.19,1.64,19.32
2018-01-31,3.84,1.93,0.0,1.52,0.0,8.79,6.53,0.03,15.91,0.81,8.21,3.33,32.28
2018-02-01,3.85,1.61,0.0,2.5,0.0,3.21,7.08,0.21,14.35,0.54,5.79,2.71,13.1
2018-02-02,4.88,1.76,0.0,3.16,0.0,3.21,6.0,0.2,15.0,0.54,0.85,4.63,36.27
2018-02-03,4.8,2.52,0.0,1.78,0.0,3.21,7.37,0.19,8.34,0.58,0.21,1.82,40.96
2018-02-04,4.31,1.98,0.0,1.6,0.0,3.21,5.76,0.25,5.69,0.29,0.19,0.54,31.01
2018-02-05,4.76,1.28,0.0,1.44,0.0,3.21,6.23,0.36,6.89,0.3,0.08,1.01,0.69
2018-02-06,6.18,0.97,0.0,1.69,0.0,3.21,6.61,0.2,10.15,0.91,0.63,3.03,10.99
2018-02-07,3.81,0.85,0.0,1.44,0.0,3.21,6.05,0.18,18.53,0.93,0.91,6.04,19.36
2018-02-08,3.29,0.84,0.0,3.1,0.0,3.21,6.4,0.34,13.36,0.58,1.37,4.26,0.4
2018-02-09,3.86,0.77,0.0,2.45,0.0,3.21,6.94,0.63,9.25,0.41,3.32,5.12,0.86
2018-02-10,2.86,0.71,0.0,4.83,0.0,3.21,7.0,0.14,10.51,0.47,1.41,2.68,0.9425
2018-02-11,1.92,0.83,0.0,2.67,0.0,3.21,6.14,0.03,5.17,0.19,0.37,1.36,1.025
2018-02-12,1.52,1.56,0.0,1.15,0.0,3.21,5.0,0.02,3.62,0.11,0.02,0.46,1.1075
2018-02-13,1.3,1.22,0.0,1.41,0.0,3.21,4.98,0.03,4.86,0.16,0.13,0.4,1.19
2018-02-14,1.8,0.88,0.0,0.9,0.0,3.21,5.08,0.04,7.18,0.24,0.09,0.66,4.92
2018-02-15,4.97,0.68,0.0,0.65,0.0,3.21,5.37,0.02,10.53,0.25,0.48,1.06,2.19
2018-02-16,3.92,0.87,0.0,0.86,0.0,3.21,5.87,0.07,6.68,0.27,4.07,1.51,3.39
2018-02-17,4.18,0.79,0.0,1.34,0.0,3.21,6.21,0.07,9.43,0.37,1.06,1.97,8.2
2018-02-18,2.18,0.96,0.0,1.24,0.0,3.21,6.1,0.12,14.77,0.5,0.35,3.27,5.11
2018-02-19,2.72,1.71,0.0,3.18,0.0,3.21,6.35,0.1,6.65,0.26,0.0,1.05,2.25
2018-02-20,3.43,1.49,0.0,2.12,0.0,10.93,6.1,0.04,6.49,0.24,0.03,1.08,3.29
2018-02-21,4.3,1.55,0.0,3.71,0.0,29.26,6.06,0.08,8.35,0.27,0.01,1.78,6.37
