Date,Ahmedabad,Bengaluru,Chennai,Delhi,Lucknow,Hyderabad,Patna,Gurugram,Visakhapatnam,Amritsar,Jaipur,Thiruvananthapuram,Amaravati
2018-02-27,124.25,3.87,10.04,10.72,13.5,14.95,35.57,,17.88,4.14,11.47,7.94,15.02
2018-02-28,124.95,3.4,9.39,14.52,13.53,12.91,33.35,,19.73,3.58,8.37,8.48,22.7
2018-03-01,167.13,3.09,10.14,14.9,12.12,11.14,42.83,,18.51,3.83,12.0,6.84,13.89
2018-03-02,171.32,3.53,9.72,11.52,13.04,10.18,33.4,,22.91,3.5,8.08,7.48,8.98
2018-03-03,109.4,3.14,10.37,12.93,12.7,9.79,39.98,,39.68,3.55,6.62,10.33,9.71
2018-03-04,71.59,4.2,9.28,12.95,11.9,9.17,39.26,,27.14,4.36,8.31,8.62,12.63
2018-03-05,97.02,3.71,7.71,12.7,11.02,8.88,35.41,,20.42,3.46,8.22,8.75,8.98
2018-03-06,99.65,3.85,8.42,12.99,12.26,9.83,36.22,,15.75,2.86,10.76,7.85,9.68
2018-03-07,81.19,3.83,5.79,13.23,13.33,7.58,35.5,1.66,13.82,3.85,9.78,7.87,8.03
2018-03-08,82.23,3.66,9.39,16.98,15.43,7.22,37.06,,2.57,3.92,9.88,5.89,10.21
2018-03-09,94.48,4.07,7.73,18.68,15.73,6.03,42.15,,3.81,3.55,10.32,8.26,12.68
2018-03-10,82.54,4.18,7.81,14.8,14.59,7.24,38.04,,11.94,3.71,12.32,9.76,6.82
2018-03-11,98.31,3.7,12.98,15.41,18.02,6.94,34.89,,14.67,3.72,9.72,14.94,8.35
2018-03-12,101.89,4.01,12.55,17.48,15.34,5.14,37.91,,19.82,8.52,7.8,10.69,7.75
2018-03-13,82.76,4.08,7.09,17.22,15.46,5.62,36.91,,18.72,3.55,9.81,4.27,9.43
2018-03-14,72.88,4.17,7.06,17.39,18.86,7.43,45.05,,22.65,3.09,10.37,5.86,8.63
